,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
2,/organization/red,(RED),|Nonprofits|,Nonprofits,USA,NY,New York City,New York,/organization/nationstar-mortgage-holdings,Nationstar Mortgage Holdings,|Finance|,Finance,USA,TX,Dallas,Lewisville,2014-05-08,2014-05,2014-Q2,2014.0,18000000,USD
4,/organization/co-internet,.CO,|Registrars|Domains|Curated Web|,Registrars,USA,FL,Miami,Miami,/organization/neustar,Neustar,|Telecommunications|Analytics|Information Technology|,Analytics,USA,VA,"Washington, D.C.",Sterling,2014-03-20,2014-03,2014-Q1,2014.0,109000000,USD
21,/organization/170-systems,170 Systems,|Software|,Software,USA,MA,Boston,Bedford,/organization/kofax,Kofax,|Software|,Software,USA,CA,Anaheim,Irvine,2009-09-08,2009-09,2009-Q3,2009.0,43000000,USD
30,/organization/21st-century-insurance,21st Century Insurance,|Finance|Business Services|Insurance|,Business Services,USA,AL,AL - Other,De Armanville,/organization/american-international-group,American International Group,|Insurance|Venture Capital|Finance|,Insurance,USA,NY,New York City,New York,2007-09-01,2007-09,2007-Q3,2007.0,749000000,USD
43,/organization/2nd-story-software-inc,"2nd Story Software, Inc.",|Software|,Software,USA,IA,Cedar Rapids,Cedar Rapids,/organization/blucora,Blucora,|Internet|,Internet,USA,WA,Seattle,Bellevue,2012-01-09,2012-01,2012-Q1,2012.0,287500000,USD
55,/organization/3com,3Com,|Curated Web|,Curated Web,USA,MA,Boston,Marlborough,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Curated Web,USA,CA,SF Bay Area,Palo Alto,2009-11-11,2009-11,2009-Q4,2009.0,2700000000,USD
64,/organization/3e-company,3E Company,|Clean Technology|,Clean Technology,USA,CA,San Diego,Carlsbad,/organization/verisk-analytics,Verisk Analytics,|Technology|Public Relations|,Technology,USA,NJ,Newark,Jersey City,2010-12-07,2010-12,2010-Q4,2010.0,110000000,USD
68,/organization/3par,3PAR,|Services|Cloud Data Services|Software|,Services,USA,CA,SF Bay Area,Fremont,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Curated Web,USA,CA,SF Bay Area,Palo Alto,2010-09-02,2010-09,2010-Q3,2010.0,2350000000,USD
71,/organization/3rd-federal-bank,3rd Federal Bank,|Banking|,Banking,USA,PA,Philadelphia,Newtown,/organization/national-penn-bancshares,National Penn Bancshares,|Banking|,Banking,USA,PA,Allentown,Allentown,2014-06-04,2014-06,2014-Q2,2014.0,138000000,USD
76,/organization/41st-parameter,41st Parameter,|Security|,Security,USA,CA,SF Bay Area,San Jose,/organization/experian,Experian,|Credit|Curated Web|,Curated Web,USA,CA,Anaheim,Costa Mesa,2013-10-01,2013-10,2013-Q4,2013.0,324000000,USD
86,/organization/5min,5min Media,|Education|Video|Games|,Video,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Content Creators,USA,NY,New York City,New York,2010-09-28,2010-09,2010-Q3,2010.0,65000000,USD
89,/organization/5to1,5to1,|Internet|Internet Marketing|Advertising|,Internet Marketing,USA,WA,Seattle,Seattle,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Photography,USA,CA,SF Bay Area,Sunnyvale,2011-05-01,2011-05,2011-Q2,2011.0,30000000,USD
116,/organization/a-s-services-group,A&S Services Group,|Services|Logistics|Transportation|,Transportation,USA,PA,PA - Other,New Freedom,/organization/celadon-group,Celadon Group,|Transportation|,Transportation,USA,IN,Indianapolis,Indianapolis,2014-10-27,2014-10,2014-Q4,2014.0,74900000,USD
122,/organization/aardvark,Aardvark,|Search|,Search,USA,CA,SF Bay Area,San Francisco,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Software,USA,CA,SF Bay Area,Mountain View,2010-02-11,2010-02,2010-Q1,2010.0,50000000,USD
153,/organization/abraxis-bioscience,Abraxis BioScience,|Pharmaceuticals|Biotechnology|,Biotechnology,USA,CA,Los Angeles,Los Angeles,/organization/celgene,Celgene,|Medical|Biotechnology|,Biotechnology,USA,NJ,Newark,Summit,2010-06-30,2010-06,2010-Q2,2010.0,2900000000,USD
164,/organization/accelerated-production-systems,Accelerated Production Systems,|Investment Management|Oil and Gas|Clean Technology|,Investment Management,USA,TX,Houston,The Woodlands,/organization/dover,Dover,|Enterprise Software|,Enterprise Software,USA,IL,Chicago,Downers Grove,2014-10-02,2014-10,2014-Q4,2014.0,430000000,USD
178,/organization/accertify,Accertify,|Fraud Detection|Credit Cards|Security|,Security,USA,IL,Chicago,Itasca,/organization/americanexpress,American Express,|Finance|,Finance,USA,NY,New York City,New York,2010-11-01,2010-11,2010-Q4,2010.0,150000000,USD
179,/organization/access-closure,Access Closure,|Health Care|,Health Care,USA,CA,SF Bay Area,Mountain View,/organization/cardinal-health,Cardinal Health,|Health and Wellness|Hospitals|Health Care|,Hospitals,USA,OH,"Columbus, Ohio",Dublin,2014-04-02,2014-04,2014-Q2,2014.0,320000000,USD
183,/organization/access-midstream-partners-lp-investments,Access Midstream Partners LP Investments,|Natural Gas Uses|,Natural Gas Uses,USA,OK,Oklahoma City,Oklahoma City,/organization/the-williams-companies,The Williams Companies,|Gas|Enterprise Software|,Gas,USA,OK,OK - Other,Snyder,2012-12-21,2012-12,2012-Q4,2012.0,2250000000,USD
187,/organization/accessflow,AccessFlow,|Consulting|,Consulting,USA,CA,Sacramento,Sacramento,/organization/inx,INX,|Web Hosting|,Web Hosting,USA,TX,Houston,Houston,2008-06-09,2008-06,2008-Q2,2008.0,7350000,USD
188,/organization/accesswire,Accesswire,|Publishing|SEO|Social Media Monitoring|Curated Web|,SEO,USA,NC,Raleigh,Morrisville,/organization/issuer-direct,Issuer Direct,|Financial Services|,Financial Services,USA,NC,Raleigh,Morrisville,2014-10-08,2014-10,2014-Q4,2014.0,1840000,USD
190,/organization/acclarent,Acclarent,|Medical|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Menlo Park,/organization/johnson-johnson,Johnson & Johnson,|Medical Devices|Pharmaceuticals|Health Care|Consumer Goods|Health and Wellness|,Medical Devices,USA,NJ,Newark,New Brunswick,2009-12-17,2009-12,2009-Q4,2009.0,785000000,USD
202,/organization/accuvant,Accuvant,|Security|,Security,USA,CO,Denver,Denver,/organization/blackstone-group,Blackstone Group,|Investment Management|Finance|,Investment Management,USA,NY,New York City,New York,2014-03-12,2014-03,2014-Q1,2014.0,225000000,USD
