,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
1201,/organization/quattro-wireless,Quattro Wireless,|Advertising|,Advertising,USA,MA,Boston,Waltham,/organization/apple,Apple,|Computers|Consumer Electronics|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Cupertino,1/5/10,2010-01,2010-Q1,2010,275000000,USD
1439,/organization/tacoda,Tacoda,|Advertising|,Advertising,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,7/24/07,2007-07,2007-Q3,2007,275000000,USD
1250,/organization/right-media,Right Media,|Advertising|,Advertising,USA,NY,New York City,New York,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,4/1/07,2007-04,2007-Q2,2007,850000000,USD
455,/organization/doubleclick,DoubleClick,|Advertising|,Advertising,USA,NY,New York City,New York,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,3/11/08,2008-03,2008-Q1,2008,3100000000,USD
256,/organization/buy-at,buy.at,|Advertising|,Advertising,USA,MD,Baltimore,Baltimore,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,2/1/08,2008-02,2008-Q1,2008,125000000,USD
242,/organization/brightroll,BrightRoll,|Advertising Platforms|Online Video Advertising|Advertising|Software|,Advertising,USA,CA,SF Bay Area,San Francisco,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,11/11/14,2014-11,2014-Q4,2014,640000000,USD
47,/organization/advertising-com,Advertising.com,|Internet|Sales and Marketing|Advertising|,Advertising,USA,MD,Baltimore,Baltimore,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,8/1/04,2004-08,2004-Q3,2004,435000000,USD
39,/organization/admob,AdMob,|Mobile|Advertising|,Advertising,USA,CA,SF Bay Area,Mountain View,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,11/9/09,2009-11,2009-Q4,2009,750000000,USD
220,/organization/bluelithium,BlueLithium,|Search|Advertising|,Advertising,USA,CA,SF Bay Area,San Jose,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,9/4/07,2007-09,2007-Q3,2007,300000000,USD
719,/organization/interclick,interclick,|Advertising|,Advertising,USA,NY,New York City,New York,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,11/1/11,2011-11,2011-Q4,2011,270000000,USD
611,/organization/gravity,Gravity,|Personalization|Interest Graph|Advertising|,Advertising,USA,CA,Los Angeles,Santa Monica,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,1/23/14,2014-01,2014-Q1,2014,90700000,USD
735,/organization/invitemedia,Invite Media,|Advertising|,Advertising,USA,PA,Philadelphia,Philadelphia,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,6/2/10,2010-06,2010-Q2,2010,80000000,USD
38,/organization/admeld,Admeld,|Auctions|Software|Advertising|,Advertising,USA,NY,New York City,New York,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,6/1/11,2011-06,2011-Q2,2011,400000000,CAD
11,/organization/5to1,5to1,|Internet|Internet Marketing|Advertising|,Advertising,USA,WA,Seattle,Seattle,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,5/1/11,2011-05,2011-Q2,2011,30000000,USD
519,/organization/exacttarget,ExactTarget,|Marketing Automation|Email Marketing|Software|,Advertising,USA,IN,Indianapolis,Indianapolis,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,6/4/13,2013-06,2013-Q2,2013,2500000000,USD
364,/organization/convertro,Convertro,|Optimization|Advertising|,Advertising,USA,CA,Los Angeles,Santa Monica,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,5/6/14,2014-05,2014-Q2,2014,101000000,USD
1445,/organization/tandberg,Tandberg,|Public Relations|,Advertising,USA,NY,New York City,New York,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,10/1/09,2009-10,2009-Q4,2009,3400000000,USD
591,/organization/gizmofive,Gizmo5,|Public Relations|,Advertising,USA,CA,San Diego,San Diego,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,11/9/09,2009-11,2009-Q4,2009,30000000,USD
613,/organization/greenfield-online,Greenfield Online,|Public Relations|,Advertising,USA,CT,Hartford,Wilton,/organization/microsoft,Microsoft,|Video Games|Software|,Software,USA,WA,Seattle,Redmond,8/29/08,2008-08,2008-Q3,2008,486000000,USD
1348,/organization/skybox-imaging,Skybox Imaging,|Aerospace|Big Data|,Analytics,USA,CA,SF Bay Area,Mountain View,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,6/10/14,2014-06,2014-Q2,2014,500000000,USD
1672,/organization/xsigo,Xsigo,|Analytics|,Analytics,USA,CA,SF Bay Area,San Jose,/organization/oracle,Oracle Corporation,|Software|Hardware|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Redwood City,7/30/12,2012-07,2012-Q3,2012,220000000,USD
507,/organization/equivio,Equivio,|Analytics|Ediscovery|Software|,Analytics,USA,MD,"Washington, D.C.",Rockville,/organization/microsoft,Microsoft,|Video Games|Software|,Software,USA,WA,Seattle,Redmond,10/8/14,2014-10,2014-Q4,2014,200000000,USD
763,/organization/jigsaw,Jigsaw,|Contact Management|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Mateo,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,4/21/10,2010-04,2010-Q2,2010,142000000,USD
442,/organization/dimdim,Dimdim,|Curated Web|,Curated Web,USA,MA,Boston,Lowell,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,1/6/11,2011-01,2011-Q1,2011,31000000,USD
1630,/organization/webex,WebEx,|Curated Web|,Curated Web,USA,CA,SF Bay Area,Santa Clara,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,3/15/07,2007-03,2007-Q1,2007,3200000000,USD
5,/organization/3com,3Com,|Curated Web|,Curated Web,USA,MA,Boston,Marlborough,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Hardware + Software,USA,CA,SF Bay Area,Palo Alto,11/11/09,2009-11,2009-Q4,2009,2700000000,USD
