funded_year,investor_name,raised_amount_usd,year_rank
2007,New Enterprise Associates,1074789000,1.0
2007,Sequoia Capital,842679000,2.0
2007,Intel Capital,554600000,3.0
2007,Goldman Sachs,462300000,4.0
2007,Accel Partners,448730000,5.0
2007,DAG Ventures,408229000,6.0
2007,Menlo Ventures,401020000,7.0
2007,Norwest Venture Partners - NVP,379279999,8.0
2007,Oak Investment Partners,368500000,9.0
2007,Draper Fisher Jurvetson (DFJ),354100000,10.0
2008,New Enterprise Associates,772713000,1.0
2008,Draper Fisher Jurvetson (DFJ),642840000,2.0
2008,Greylock Partners,525800000,3.0
2008,Accel Partners,508039356,4.0
2008,Oak Investment Partners,469400000,5.0
2008,Sequoia Capital,462450000,6.0
2008,DAG Ventures,360100000,7.0
2008,Benchmark,347753921,8.0
2008,Carlyle Group,340000000,9.0
2008,Sigma Partners,331800000,10.0
2009,New Enterprise Associates,933238160,1.0
2009,Benchmark,312650012,2.0
2009,Canaan Partners,309000000,3.0
2009,DAG Ventures,305650012,4.0
2009,Intel Capital,296950001,5.0
2009,Sequoia Capital,278700000,6.0
2009,Mohr Davidow Ventures,262249999,7.0
2009,Greylock Partners,257753980,8.0
2009,Draper Fisher Jurvetson (DFJ),252663218,9.0
2009,Lightspeed Venture Partners,249600000,10.0
2010,New Enterprise Associates,768855567,1.0
2010,Accel Partners,617730000,2.0
2010,Sequoia Capital,514934998,3.0
2010,Draper Fisher Jurvetson (DFJ),448219999,4.0
2010,Lightspeed Venture Partners,418400000,5.0
2010,Battery Ventures,390399998,6.0
2010,Intel Capital,387978000,7.0
2010,DAG Ventures,387700000,8.0
2010,Menlo Ventures,324700000,9.0
2010,Norwest Venture Partners - NVP,321760000,10.0
2011,Greylock Partners,1789487940,1.0
2011,Andreessen Horowitz,1647535687,2.0
2011,T. Rowe Price,1476000000,3.0
2011,New Enterprise Associates,1361400000,4.0
2011,Battery Ventures,1351178749,5.0
2011,Lightspeed Venture Partners,1109300000,6.0
2011,Fidelity Ventures,950000000,7.0
2011,Sequoia Capital,947100000,8.0
2011,Benchmark,793179150,9.0
2011,Accel Partners,791285000,10.0
2012,New Enterprise Associates,1352184917,1.0
2012,Andreessen Horowitz,945866866,2.0
2012,Sequoia Capital,876050000,3.0
2012,Accel Partners,863350000,4.0
2012,Greylock Partners,743850000,5.0
2012,Lightspeed Venture Partners,641000000,6.0
2012,Battery Ventures,541348006,7.0
2012,Draper Fisher Jurvetson (DFJ),508300000,8.0
2012,CrunchFund,485800000,9.0
2012,Norwest Venture Partners - NVP,463148006,10.0
2013,Andreessen Horowitz,1440895962,1.0
2013,New Enterprise Associates,1146101158,2.0
2013,Sequoia Capital,1074425481,3.0
2013,Accel Partners,924111130,4.0
2013,Benchmark,845655000,5.0
2013,Greylock Partners,822705237,6.0
2013,Google Ventures,750175000,7.0
2013,Intel Capital,743300000,8.0
2013,Lightspeed Venture Partners,653870594,9.0
2013,Norwest Venture Partners - NVP,586700000,10.0
2014,Andreessen Horowitz,2484149993,1.0
2014,Google Ventures,2132700000,2.0
2014,Wellington Management,2099280000,3.0
2014,T. Rowe Price,1783800000,4.0
2014,BlackRock,1730000000,5.0
2014,Fidelity Investments,1712000000,6.0
2014,Menlo Ventures,1595500000,7.0
2014,Intel Capital,1516469993,8.0
2014,Accel Partners,1424925000,9.0
2014,Sequoia Capital,1416430016,10.0
