,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,raised_amount_usd
0,/organization/170-systems,170 Systems,|Software|,Software,USA,MA,Boston,Bedford,/organization/kofax,Kofax,|Software|,Software,USA,CA,Anaheim,Irvine,2009-09-08,2009-09,2009-Q3,2009.0,43.0,USD,14.0
1,/organization/41st-parameter,41st Parameter,|Security|,Security,USA,CA,SF Bay Area,San Jose,/organization/experian,Experian,|Credit|Curated Web|,Curated Web,USA,CA,Anaheim,Costa Mesa,2013-10-01,2013-10,2013-Q4,2013.0,324.0,USD,34.27
2,/organization/5min,5min Media,|Education|Video|Games|,Video,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,2010-09-28,2010-09,2010-Q3,2010.0,65.0,USD,12.5
3,/organization/aardvark,Aardvark,|Search|,Search,USA,CA,SF Bay Area,San Francisco,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,2010-02-11,2010-02,2010-Q1,2010.0,50.0,USD,5.25
4,/organization/accertify,Accertify,|Fraud Detection|Credit Cards|Security|,Security,USA,IL,Chicago,Itasca,/organization/americanexpress,American Express,|Finance|,Finance,USA,NY,New York City,New York,2010-11-01,2010-11,2010-Q4,2010.0,150.0,USD,6.431124
5,/organization/acompli-inc,Acompli,|Consumer Internet|Mobile Security|Android|iOS|SaaS|Mobile|Email|Enterprise Software|,Android,USA,CA,SF Bay Area,San Francisco,/organization/microsoft,Microsoft,|Video Games|Software|,Software,USA,WA,Seattle,Redmond,2014-12-01,2014-12,2014-Q4,2014.0,200.0,USD,7.3
6,/organization/adap-tv,Adap.tv,|Auctions|Television|Video|Advertising|,Television,USA,CA,SF Bay Area,San Mateo,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,2013-08-07,2013-08,2013-Q3,2013.0,405.0,USD,43.0
7,/organization/adconion-media-group,Adconion Media Group,|Entertainment|Ad Targeting|Advertising|,Entertainment,USA,CA,Los Angeles,Santa Monica,/organization/amobee,Amobee,|Advertising|,Advertising,USA,CA,SF Bay Area,Redwood City,2014-06-10,2014-06,2014-Q2,2014.0,235.0,USD,80.0
8,/organization/adiana,Adiana,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Redwood City,/organization/cytyc,Cytyc,|Biotechnology|,Biotechnology,USA,MA,Boston,Marlborough,2007-02-26,2007-02,2007-Q1,2007.0,215.0,USD,23.0
9,/organization/adify,Adify,|Advertising|,Advertising,USA,CA,SF Bay Area,San Bruno,/organization/cox-enterprises,Cox Enterprises,|Software|Digital Media|Broadcasting|,Digital Media,USA,GA,Atlanta,Atlanta,2008-04-28,2008-04,2008-Q2,2008.0,300.0,USD,27.0
11,/organization/admeld,Admeld,|Auctions|Software|Advertising|,Auctions,USA,NY,New York City,New York,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,2011-06-01,2011-06,2011-Q2,2011.0,400.0,CAD,30.0
12,/organization/admob,AdMob,|Mobile|Advertising|,Advertising,USA,CA,SF Bay Area,Mountain View,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,2009-11-09,2009-11,2009-Q4,2009.0,750.0,USD,46.8
13,/organization/adnexus,Adnexus,|Biotechnology|,Biotechnology,USA,MA,Boston,Waltham,/organization/bristol-myers-squibb,Bristol-Myers Squibb,|Health and Wellness|Pharmaceuticals|Biotechnology|,Pharmaceuticals,USA,NY,New York City,New York,2010-08-10,2010-08,2010-Q3,2010.0,415.0,USD,42.5
15,/organization/aggregateknowledge,Aggregate Knowledge,|Advertising|,Advertising,USA,CA,SF Bay Area,San Mateo,/organization/neustar,Neustar,|Telecommunications|Analytics|Information Technology|,Analytics,USA,VA,"Washington, D.C.",Sterling,2013-10-31,2013-10,2013-Q4,2013.0,119.0,USD,59.95835
17,/organization/ahura-scientific,Ahura Scientific,|Biotechnology|,Biotechnology,USA,ME,ME - Other,Limington,/organization/thermo-fisher-scientific,Thermo Fisher Scientific,|Technology|Bioinformatics|Biotechnology|,Bioinformatics,USA,MA,Boston,Waltham,2010-01-19,2010-01,2010-Q1,2010.0,145.0,USD,17.0
18,/organization/aicent,Aicent,|Mobile|,Mobile,USA,CA,SF Bay Area,San Jose,/organization/syniverse-technologies,Syniverse,|Mobile|Public Relations|,Mobile,USA,FL,Tampa,Tampa,2014-05-13,2014-05,2014-Q2,2014.0,290.0,USD,17.3
26,/organization/altor-networks,Altor Networks,|Security|,Security,USA,CA,SF Bay Area,Redwood City,/organization/juniper-networks,Juniper Networks,|Communications Hardware|Technology|Security|,Communications Hardware,USA,CA,SF Bay Area,Sunnyvale,2010-12-06,2010-12,2010-Q4,2010.0,95.0,USD,16.0
27,/organization/alverix,Alverix,|Finance|,Finance,USA,CA,SF Bay Area,San Jose,/organization/becton-dickinson,Becton Dickinson,|Biotechnology|,Biotechnology,USA,NJ,Newark,Franklin Lakes,2014-01-07,2014-01,2014-Q1,2014.0,40.0,USD,7.7
29,/organization/andera,Andera,|Finance|,Finance,USA,RI,Providence,Providence,/organization/bottomline-technologies,Bottomline Technologies,|Software|,Software,USA,NH,Portsmouth,Portsmouth,2014-05-08,2014-05,2014-Q2,2014.0,44.5,USD,9.0
30,/organization/angioscore,AngioScore,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Fremont,/organization/spectranetics,Spectranetics,|Medical Devices|,Medical Devices,USA,CO,Colorado Springs,Colorado Springs,2014-05-27,2014-05,2014-Q2,2014.0,230.0,USD,30.0
32,/organization/appia,Appia,|App Stores|Mobile|Advertising|,Advertising,USA,NC,Raleigh,Durham,/organization/mandalay-digital-group,Mandalay Digital Group,|Mobile|,Mobile,USA,CA,Los Angeles,Los Angeles,2014-11-13,2014-11,2014-Q4,2014.0,100.0,USD,22.75
