,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,raised_amount_usd
9,/organization/adify,Adify,|Advertising|,Advertising,USA,CA,SF Bay Area,San Bruno,/organization/cox-enterprises,Cox Enterprises,|Software|Digital Media|Broadcasting|,Digital Media,USA,GA,Atlanta,Atlanta,4/28/08,2008-04,2008-Q2,2008,300000000,USD,27000000
12,/organization/admob,AdMob,|Mobile|Advertising|,Advertising,USA,CA,SF Bay Area,Mountain View,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,11/9/09,2009-11,2009-Q4,2009,750000000,USD,46800000
15,/organization/aggregateknowledge,Aggregate Knowledge,|Advertising|,Advertising,USA,CA,SF Bay Area,San Mateo,/organization/neustar,Neustar,|Telecommunications|Analytics|Information Technology|,Analytics,USA,VA,"Washington, D.C.",Sterling,10/31/13,2013-10,2013-Q4,2013,119000000,USD,59958350
32,/organization/appia,Appia,|App Stores|Mobile|Advertising|,Advertising,USA,NC,Raleigh,Durham,/organization/mandalay-digital-group,Mandalay Digital Group,|Mobile|,Mobile,USA,CA,Los Angeles,Los Angeles,11/13/14,2014-11,2014-Q4,2014,100000000,USD,22750000
59,/organization/bizo,Bizo,|Advertising|,Advertising,USA,CA,SF Bay Area,San Francisco,/organization/linkedin,LinkedIn,|Social Recruiting|Software|Networking|Social Media|,Software,USA,CA,SF Bay Area,Mountain View,7/22/14,2014-07,2014-Q3,2014,175000000,USD,16000000
65,/organization/bluelithium,BlueLithium,|Search|Advertising|,Advertising,USA,CA,SF Bay Area,San Jose,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,9/4/07,2007-09,2007-Q3,2007,300000000,USD,11500000
70,/organization/brightroll,BrightRoll,|Advertising Platforms|Online Video Advertising|Advertising|Software|,Advertising,USA,CA,SF Bay Area,San Francisco,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,11/11/14,2014-11,2014-Q4,2014,640000000,USD,36000000
125,/organization/efficient-frontier,Efficient Frontier,|Advertising|,Advertising,USA,CA,SF Bay Area,Sunnyvale,/organization/adobe-systems,Adobe Systems,|Image Recognition|Design|Photo Editing|Creative|Software|,Photo Editing,USA,CA,SF Bay Area,San Jose,11/30/11,2011-11,2011-Q4,2011,400000000,USD,6000000
149,/organization/freewheel,FreeWheel,|Advertising|Video|Television|Enterprise Software|,Advertising,USA,CA,SF Bay Area,San Mateo,/organization/comcast,Comcast,|Web Hosting|,Web Hosting,USA,PA,Philadelphia,Philadelphia,3/2/14,2014-03,2014-Q1,2014,320000000,USD,37049998
169,/organization/gravity,Gravity,|Personalization|Interest Graph|Advertising|,Advertising,USA,CA,Los Angeles,Santa Monica,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,1/23/14,2014-01,2014-Q1,2014,90700000,USD,20600000
199,/organization/invitemedia,Invite Media,|Advertising|,Advertising,USA,PA,Philadelphia,Philadelphia,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,6/2/10,2010-06,2010-Q2,2010,80000000,USD,4000000
