,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,raised_amount_usd
0,/organization/170-systems,170 Systems,|Software|,Software,USA,MA,Boston,Bedford,/organization/kofax,Kofax,|Software|,Software,USA,CA,Anaheim,Irvine,2009-09-08,2009-09,2009-Q3,2009.0,43000000,USD,14000000
1,/organization/41st-parameter,41st Parameter,|Security|,Security,USA,CA,SF Bay Area,San Jose,/organization/experian,Experian,|Credit|Curated Web|,Curated Web,USA,CA,Anaheim,Costa Mesa,2013-10-01,2013-10,2013-Q4,2013.0,324000000,USD,34270000
2,/organization/5min,5min Media,|Education|Video|Games|,Video,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,2010-09-28,2010-09,2010-Q3,2010.0,65000000,USD,12500000
6,/organization/adap-tv,Adap.tv,|Auctions|Television|Video|Advertising|,Television,USA,CA,SF Bay Area,San Mateo,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,2013-08-07,2013-08,2013-Q3,2013.0,405000000,USD,43000000
7,/organization/adconion-media-group,Adconion Media Group,|Entertainment|Ad Targeting|Advertising|,Entertainment,USA,CA,Los Angeles,Santa Monica,/organization/amobee,Amobee,|Advertising|,Advertising,USA,CA,SF Bay Area,Redwood City,2014-06-10,2014-06,2014-Q2,2014.0,235000000,USD,80000000
8,/organization/adiana,Adiana,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Redwood City,/organization/cytyc,Cytyc,|Biotechnology|,Biotechnology,USA,MA,Boston,Marlborough,2007-02-26,2007-02,2007-Q1,2007.0,215000000,USD,23000000
9,/organization/adify,Adify,|Advertising|,Advertising,USA,CA,SF Bay Area,San Bruno,/organization/cox-enterprises,Cox Enterprises,|Software|Digital Media|Broadcasting|,Digital Media,USA,GA,Atlanta,Atlanta,2008-04-28,2008-04,2008-Q2,2008.0,300000000,USD,27000000
11,/organization/admeld,Admeld,|Auctions|Software|Advertising|,Auctions,USA,NY,New York City,New York,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,2011-06-01,2011-06,2011-Q2,2011.0,400000000,CAD,30000000
12,/organization/admob,AdMob,|Mobile|Advertising|,Advertising,USA,CA,SF Bay Area,Mountain View,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,2009-11-09,2009-11,2009-Q4,2009.0,750000000,USD,46800000
13,/organization/adnexus,Adnexus,|Biotechnology|,Biotechnology,USA,MA,Boston,Waltham,/organization/bristol-myers-squibb,Bristol-Myers Squibb,|Health and Wellness|Pharmaceuticals|Biotechnology|,Pharmaceuticals,USA,NY,New York City,New York,2010-08-10,2010-08,2010-Q3,2010.0,415000000,USD,42500000
15,/organization/aggregateknowledge,Aggregate Knowledge,|Advertising|,Advertising,USA,CA,SF Bay Area,San Mateo,/organization/neustar,Neustar,|Telecommunications|Analytics|Information Technology|,Analytics,USA,VA,"Washington, D.C.",Sterling,2013-10-31,2013-10,2013-Q4,2013.0,119000000,USD,59958350
17,/organization/ahura-scientific,Ahura Scientific,|Biotechnology|,Biotechnology,USA,ME,ME - Other,Limington,/organization/thermo-fisher-scientific,Thermo Fisher Scientific,|Technology|Bioinformatics|Biotechnology|,Bioinformatics,USA,MA,Boston,Waltham,2010-01-19,2010-01,2010-Q1,2010.0,145000000,USD,17000000
18,/organization/aicent,Aicent,|Mobile|,Mobile,USA,CA,SF Bay Area,San Jose,/organization/syniverse-technologies,Syniverse,|Mobile|Public Relations|,Mobile,USA,FL,Tampa,Tampa,2014-05-13,2014-05,2014-Q2,2014.0,290000000,USD,17300000
26,/organization/altor-networks,Altor Networks,|Security|,Security,USA,CA,SF Bay Area,Redwood City,/organization/juniper-networks,Juniper Networks,|Communications Hardware|Technology|Security|,Communications Hardware,USA,CA,SF Bay Area,Sunnyvale,2010-12-06,2010-12,2010-Q4,2010.0,95000000,USD,16000000
30,/organization/angioscore,AngioScore,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Fremont,/organization/spectranetics,Spectranetics,|Medical Devices|,Medical Devices,USA,CO,Colorado Springs,Colorado Springs,2014-05-27,2014-05,2014-Q2,2014.0,230000000,USD,30000000
32,/organization/appia,Appia,|App Stores|Mobile|Advertising|,Advertising,USA,NC,Raleigh,Durham,/organization/mandalay-digital-group,Mandalay Digital Group,|Mobile|,Mobile,USA,CA,Los Angeles,Los Angeles,2014-11-13,2014-11,2014-Q4,2014.0,100000000,USD,22750000
36,/organization/ardian-inc,Ardian,|Health Care|,Health Care,USA,CA,SF Bay Area,Mountain View,/organization/medtronic,Medtronic,|Medical Devices|Biotechnology|,Medical Devices,USA,MN,Minneapolis,Minneapolis,2011-01-13,2011-01,2011-Q1,2011.0,800000000,USD,64080000
40,/organization/associatedcontent,Associated Content,|Curated Web|,Curated Web,USA,CO,Denver,Denver,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,2010-05-18,2010-05,2010-Q2,2010.0,90000000,USD,21400000
41,/organization/aster-data-systems,Aster Data Systems,|Databases|Analytics|,Analytics,USA,CA,SF Bay Area,San Carlos,/organization/teradata,Teradata,|Big Data|Consulting|,Big Data,USA,OH,Dayton,Miamisburg,2011-03-03,2011-03,2011-Q1,2011.0,263000000,USD,52000000
43,/organization/atom-entertainment,Atom Entertainment,|Games|,Games,USA,CA,SF Bay Area,San Francisco,/organization/mtv-networks,MTV Networks,|Advertising|,Advertising,USA,NY,New York City,New York,2006-08-01,2006-08,2006-Q3,2006.0,200000000,USD,22900000
44,/organization/atrua,Atrua Technologies,|Mobile|,Mobile,USA,CA,SF Bay Area,Campbell,/organization/authentec,AuthenTec,|Information Security|Semiconductors|,Information Security,USA,FL,Florida's Space Coast,Melbourne Beach,2009-07-14,2009-07,2009-Q3,2009.0,600000000,USD,13000000
46,/organization/auditude,Auditude,|Monetization|Video|Advertising|,Monetization,USA,CA,SF Bay Area,Palo Alto,/organization/adobe-systems,Adobe Systems,|Image Recognition|Design|Photo Editing|Creative|Software|,Photo Editing,USA,CA,SF Bay Area,San Jose,2011-11-01,2011-11,2011-Q4,2011.0,120000000,USD,30426151
47,/organization/avaak,Avaak,|Electronics|Mobile|,Mobile,USA,CA,San Diego,San Diego,/organization/netgear-inc,NETGEAR,|Telecommunications|Hardware + Software|,Telecommunications,USA,CA,SF Bay Area,San Jose,2012-07-26,2012-07,2012-Q3,2012.0,31000000,USD,17000000
48,/organization/avid-radiopharmaceuticals,Avid Radiopharmaceuticals,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Philadelphia,/organization/eli-lilly,Eli Lilly,|Biotechnology|,Biotechnology,USA,IN,Indianapolis,Indianapolis,2010-11-08,2010-11,2010-Q4,2010.0,800000000,USD,69400000
49,/organization/avidia,Avidia,|Pharmaceuticals|Medical|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Mountain View,/organization/amgen,Amgen,|Biotechnology|,Biotechnology,USA,CA,Los Angeles,Thousand Oaks,2008-10-02,2008-10,2008-Q4,2008.0,380000000,USD,72300000
53,/organization/basis-science,Basis Science,|Fitness|Health and Wellness|,Fitness,USA,CA,SF Bay Area,San Francisco,/organization/intel,Intel,|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Santa Clara,2014-03-04,2014-03,2014-Q1,2014.0,100000000,USD,43500000
55,/organization/bebo,Bebo,|Social Network Media|Social Media|,Social Network Media,USA,CA,SF Bay Area,San Francisco,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,2008-03-13,2008-03,2008-Q1,2008.0,850000000,USD,15000000
56,/organization/beceem,Beceem Communications,|Semiconductors|,Semiconductors,USA,CA,SF Bay Area,Santa Clara,/organization/broadcom,Broadcom,|Semiconductors|Mobile|,Semiconductors,USA,CA,Anaheim,Irvine,2010-10-13,2010-10,2010-Q4,2010.0,316000000,USD,49600000
57,/organization/billmelater,Bill Me Later,|Payments|Credit|E-Commerce|,Payments,USA,MD,Baltimore,Lutherville Timonium,/organization/ebay,eBay,|Internet|Business Services|All Markets|Search|Auctions|E-Commerce|,Business Services,USA,CA,SF Bay Area,San Jose,2008-10-06,2008-10,2008-Q4,2008.0,945000000,USD,100000000
58,/organization/binoptics,BinOptics,|Semiconductors|Telecommunications|Manufacturing|,Telecommunications,USA,NY,Elmira,Ithaca,/organization/m-a-com-technology-solutions,M/A-COM Technology Solutions,|Semiconductors|Mobile|,Semiconductors,USA,MA,Boston,Lowell,2014-11-18,2014-11,2014-Q4,2014.0,230000000,USD,16000000
59,/organization/bizo,Bizo,|Advertising|,Advertising,USA,CA,SF Bay Area,San Francisco,/organization/linkedin,LinkedIn,|Social Recruiting|Software|Networking|Social Media|,Software,USA,CA,SF Bay Area,Mountain View,2014-07-22,2014-07,2014-Q3,2014.0,175000000,USD,16000000
63,/organization/bluefin-labs,Bluefin Labs,|Search|Video|Social Television|Analytics|,Search,USA,MA,Boston,Cambridge,/organization/twitter,Twitter,|Software|SMS|MicroBlogging|Messaging|Social Media|,Software,USA,CA,SF Bay Area,San Francisco,2013-02-04,2013-02,2013-Q1,2013.0,80000000,USD,18000000
65,/organization/bluelithium,BlueLithium,|Search|Advertising|,Advertising,USA,CA,SF Bay Area,San Jose,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,2007-09-04,2007-09,2007-Q3,2007.0,300000000,USD,11500000
67,/organization/braintree-payment-solutions,Braintree,|Accounting|Credit Cards|Billing|Payments|Software|,Accounting,USA,IL,Chicago,Chicago,/organization/paypal,PayPal,|Payments|P2P Money Transfer|E-Commerce|Databases|Finance|,Payments,USA,CA,SF Bay Area,San Jose,2013-09-26,2013-09,2013-Q3,2013.0,800000000,USD,69000000
68,/organization/breakingpoint-systems,BreakingPoint Systems,|Security|,Security,USA,TX,Austin,Austin,/organization/ixia,IXIA,|Web Hosting|,Web Hosting,USA,CA,Los Angeles,Calabasas,2012-07-02,2012-07,2012-Q3,2012.0,160000000,USD,15000000
69,/organization/bright-com,Bright.com,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/linkedin,LinkedIn,|Social Recruiting|Software|Networking|Social Media|,Software,USA,CA,SF Bay Area,Mountain View,2014-02-06,2014-02,2014-Q1,2014.0,120000000,USD,20000000
70,/organization/brightroll,BrightRoll,|Advertising Platforms|Online Video Advertising|Advertising|Software|,Advertising,USA,CA,SF Bay Area,San Francisco,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,2014-11-11,2014-11,2014-Q4,2014.0,640000000,USD,36000000
71,/organization/broadbus,Broadbus Technologies,|Hardware + Software|,Hardware + Software,USA,IL,Chicago,Libertyville,/organization/motorola-solutions,Motorola Solutions,|Enterprise Software|,Enterprise Software,USA,IL,Chicago,Schaumburg,2006-07-25,2006-07,2006-Q3,2006.0,181000000,USD,20000000
72,/organization/broadlight,BroadLight,|Software|,Software,USA,CA,SF Bay Area,Santa Clara,/organization/broadcom,Broadcom,|Semiconductors|Mobile|,Semiconductors,USA,CA,Anaheim,Irvine,2012-03-21,2012-03,2012-Q1,2012.0,230000000,USD,22000000
73,/organization/bump-technologies,Bump Technologies,|Mobile|,Mobile,USA,CA,SF Bay Area,Mountain View,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,2013-12-31,2013-12,2013-Q4,2013.0,30000000,USD,19900000
75,/organization/calistoga-pharmaceuticals,Calistoga Pharmaceuticals,|Medical|Pharmaceuticals|Biotechnology|,Pharmaceuticals,USA,WA,Seattle,Seattle,/organization/gilead-sciences,Gilead Sciences,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Foster City,2011-02-22,2011-02,2011-Q1,2011.0,375000000,USD,92000000
76,/organization/cardiomems,CardioMEMS,|Medical Devices|Health Care|,Medical Devices,USA,GA,Atlanta,Atlanta,/organization/st-jude-medical,St. Jude Medical,|Medical Devices|,Medical Devices,USA,MN,Minneapolis,Saint Paul,2014-05-30,2014-05,2014-Q2,2014.0,455000000,USD,22100000
77,/organization/caring-com,Caring.com,|Baby Boomers|Elder Care|Senior Health|Local Based Services|Media|,Elder Care,USA,CA,SF Bay Area,San Mateo,/organization/bankrate,Bankrate,|Business Services|Curated Web|,Business Services,USA,FL,Palm Beaches,North Palm Beach,2014-05-08,2014-05,2014-Q2,2014.0,54000000,USD,23519998
79,/organization/cashedge,CashEdge,|Finance|,Finance,USA,NY,New York City,New York,/organization/fiserv,Fiserv,|Information Technology|,Information Technology,USA,WI,Milwaukee,Brookfield,2011-09-14,2011-09,2011-Q3,2011.0,465000000,USD,25000000
80,/organization/caviar,Caviar,|Hospitality|Curated Web|,Hospitality,USA,CA,SF Bay Area,San Francisco,/organization/square,Square,|Hardware + Software|Finance|Analytics|P2P Money Transfer|Mobile Payments|Mobile|,P2P Money Transfer,USA,CA,SF Bay Area,San Francisco,2014-08-04,2014-08,2014-Q3,2014.0,90000000,USD,13000000
81,/organization/ception-therapeutics,Ception Therapeutics,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Malvern,/organization/cephalon,Cephalon,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Malvern,2010-02-23,2010-02,2010-Q1,2010.0,250000000,USD,77700000
83,/organization/change-healthcare,Change Healthcare,|Healthcare Services|Hospitals|Education|Health Care|,Hospitals,USA,TN,Nashville,Brentwood,/organization/emdeon,Emdeon,|Payments|Enterprise Software|,Payments,USA,TN,Nashville,Nashville,2014-11-19,2014-11,2014-Q4,2014.0,135000000,USD,25300000
84,/organization/pageonce,Check,|Sports|Mobile|,Sports,USA,CA,SF Bay Area,Palo Alto,/organization/intuit,Intuit,|Computers|Software|,Computers,USA,CA,SF Bay Area,Mountain View,2014-05-27,2014-05,2014-Q2,2014.0,360000000,USD,30500000
